,Resident,Work,percent,Number
448,OH,FL,0.021788115,254500
449,WV,FL,0.012607619,22755
450,SD,FL,0.015955129,14021
451,MI,FL,0.029467564,294446
452,NV,FL,0.013379244,40453
453,AR,FL,0.025889078,77889
454,CO,FL,0.022094803,125046
455,NJ,FL,0.025498609,226916
456,KS,FL,0.020227626,58433
457,NH,FL,0.022055107,29888
458,ND,FL,0.015274232,11500
459,AL,FL,0.101081562,492678
460,OR,FL,0.006220382,26052
461,FL,FL,0.238193534,5057045
462,WI,FL,0.021826349,126822
463,LA,FL,0.02334127,108398
464,OK,FL,0.020811918,81652
465,ID,FL,0.009879075,17295
466,UT,FL,0.007723357,24377
467,MO,FL,0.024444446,149298
468,TX,FL,0.013206647,377545
469,IN,FL,0.018552596,124099
470,AZ,FL,0.008627214,61702
471,MD,FL,0.02512202,150944
472,WY,GA,0.008655998,4975
473,MO,GA,0.013982967,85403
474,NY,GA,0.007805653,152345
475,SC,GA,0.167881659,846622
476,VT,GA,0.018656699,11674
477,IL,GA,0.012850183,163369
478,TN,GA,0.083836913,565844
479,OK,GA,0.009315558,36548
480,KY,GA,0.04396225,195706
481,UT,GA,0.01297671,40958
482,SD,GA,0.011777732,10350
483,VA,GA,0.022742291,191073
484,OR,GA,0.005106769,21388
485,HI,GA,0.005298119,7286
486,MA,GA,0.007561461,52153
487,PA,GA,0.01665953,213254
488,IN,GA,0.012227321,81789
489,CO,GA,0.01368243,77436
490,NV,GA,0.00828261,25043
491,FL,GA,0.047179186,1001653
492,GA,GA,1.222183702,12779330
493,LA,GA,0.024471318,113646
494,NH,GA,0.021060384,28540
495,AK,GA,0.011009703,7905
496,AZ,GA,0.004814305,34432
497,NC,GA,0.065316163,671851
498,CA,GA,0.005047514,198877
499,RI,GA,0.010706813,11273
500,NE,GA,0.004549949,8748
501,NM,GA,0.008537394,17790
502,MD,GA,0.01778966,106888
503,WV,GA,0.020438693,36889
504,ME,GA,0.021077966,28182
505,DE,GA,0.018241169,17580
506,MT,GA,0.010522846,11141
507,DC,GA,0.01902191,13283
508,OH,GA,0.013733789,160420
509,TX,GA,0.010904207,311724
510,CT,GA,0.008896851,31724
511,KS,GA,0.022495026,64983
512,MI,GA,0.013727298,137166
513,MS,GA,0.041635441,123783
514,IA,GA,0.011659794,36779
515,WI,GA,0.018476895,107360
516,MN,GA,0.020704609,116133
517,AR,GA,0.01654343,49772
518,ID,GA,0.010206949,17869
519,WA,GA,0.006629084,49608
520,NJ,GA,0.013464766,119825
521,AL,GA,0.222620794,1085068
522,WI,HI,0.001311763,7622
523,NC,HI,0.001575907,16210
524,ME,HI,0.004634879,6197
525,AL,HI,0.001063794,5185
526,IA,HI,0.003743409,11808
527,MS,HI,0.000891686,2651
528,MN,HI,0.001416285,7944
529,OH,HI,0.001851262,21624
530,TN,HI,0.002168804,14638
531,LA,HI,0.000852704,3960
532,KS,HI,0.000938115,2710
533,OR,HI,0.002488439,10422
534,AK,HI,0.003084945,2215
535,PA,HI,0.001308442,16749
536,NH,HI,0.003943472,5344
537,HI,HI,0.05610509,77156
538,TX,HI,0.001123778,32126
539,GA,HI,0.002238014,23401
540,KY,HI,0.000353574,1574
541,NY,HI,0.000882552,17225
542,OK,HI,0.002048515,8037
543,MI,HI,0.00263005,26280
544,ID,HI,0.006487231,11357
545,AR,HI,0.00039587,1191
546,IN,HI,0.001015542,6793
547,MA,HI,0.002619609,18068
548,CO,HI,0.005543932,31376
549,WA,HI,0.007410281,55454
550,NV,HI,0.00233367,7056
551,NJ,HI,0.000740295,6588
552,IL,HI,0.001311848,16678
553,CT,HI,0.003281212,11700
554,CA,HI,0.002923201,115177
555,MO,HI,0.000733834,4482
556,MD,HI,0.002700038,16223
557,FL,HI,0.001360663,28888
558,AZ,HI,0.001687216,12067
559,UT,HI,0.005879408,18557
560,SD,HI,0.001791126,1574
561,ND,HI,0.002414657,1818
562,VA,HI,0.002474511,20790
563,NJ,ID,0.000559042,4975
564,ND,ID,0.002576697,1940
565,MT,ID,0.081331276,86109
566,AL,ID,0.001961402,9560
567,OH,ID,0.000841218,9826
568,UT,ID,0.056233465,177488
569,CO,ID,0.003610023,20431
570,IL,ID,0.001336389,16990
571,MI,ID,0.001171413,11705
572,WI,ID,0.003922898,22794
573,LA,ID,0.001289392,5988
574,NE,ID,0.001009019,1940
575,WY,ID,0.077796105,44713
576,SD,ID,0.005696553,5006
577,TX,ID,0.000610057,17440
578,AK,ID,0.001242335,892
579,NV,ID,0.014283475,43187
580,MN,ID,0.005110856,28667
581,AZ,ID,0.00605018,43271
582,MD,ID,0.000148458,892
583,KS,ID,0.002030967,5867
584,NM,ID,0.00572183,11923
585,SC,ID,0.001107483,5585
586,MA,ID,0.000573855,3958
587,WA,ID,0.026834373,200812
588,CA,ID,0.001436538,56601
589,IA,ID,0.004198654,13244
590,KY,ID,0.002147502,9560
591,NY,ID,0.000368648,7195
592,VA,ID,0.001761676,14801
593,OK,ID,0.002436706,9560
594,PA,ID,0.00101588,13004
595,OR,ID,0.029936724,125380
596,ID,ID,0.826785745,1447429
597,IN,ID,0.003070846,20541
598,FL,ID,4.96E-05,1053
599,MO,ID,0.000938332,5731
600,ID,IL,0.01802567,31557
601,TN,IL,0.031034581,209463
602,GA,IL,0.018983191,198491
603,KS,IL,0.028656121,82781
604,NC,IL,0.014958191,153862
605,WA,IL,0.008619894,64506
606,NV,IL,0.015571359,47081
607,NM,IL,0.010345172,21557
608,AZ,IL,0.010443764,74694
609,KY,IL,0.071682552,319108
610,UT,IL,0.007918207,24992
611,OR,IL,0.009013967,37752
612,ME,IL,0.016207492,21670
613,WY,IL,0.018884864,10854
614,OH,IL,0.031489776,367822
615,ND,IL,0.021087738,15877
616,VA,IL,0.011998938,100811
617,CT,IL,0.015004392,53502
618,PA,IL,0.02026589,259418
619,CA,IL,0.005330171,210014
620,NY,IL,0.009143546,178457
621,FL,IL,0.018688912,396781
622,MS,IL,0.026927165,80055
623,MA,IL,0.009576913,66054
624,NH,IL,0.016332497,22133
625,MD,IL,0.012560511,75469
626,AL,IL,0.016639913,81104
627,IL,IL,0.641505471,8155690
628,AR,IL,0.024129768,72596
629,SC,IL,0.015673902,79043
630,RI,IL,0.019264285,20283
631,TX,IL,0.009792777,279951
