REGION,SEX,agebins,POPEST2018_CIV
New Jersey,1,41-50,574186
New Jersey,1,51-60,622258
New Jersey,1,61-70,462939
New Jersey,1,71+,371326
New Jersey,1,Total,4344331
New Jersey,2,10-Jan,568962
New Jersey,2,20-Nov,543213
New Jersey,2,21-30,559189
New Jersey,2,31-40,576263
New Jersey,2,41-50,594102
New Jersey,2,51-60,659544
New Jersey,2,61-70,521151
New Jersey,2,71+,532397
New Jersey,2,Total,4554821
New Mexico,0,10-Jan,287323
New Mexico,0,20-Nov,277721
New Mexico,0,21-30,280571
New Mexico,0,31-40,264810
New Mexico,0,41-50,234454
New Mexico,0,51-60,265269
New Mexico,0,61-70,251886
New Mexico,0,71+,221740
New Mexico,0,Total,2083774
New Mexico,1,10-Jan,146726
New Mexico,1,20-Nov,141578
New Mexico,1,21-30,143988
New Mexico,1,31-40,133616
New Mexico,1,41-50,115750
New Mexico,1,51-60,128207
New Mexico,1,61-70,118575
New Mexico,1,71+,99046
New Mexico,1,Total,1027486
New Mexico,2,10-Jan,140597
New Mexico,2,20-Nov,136143
New Mexico,2,21-30,136583
New Mexico,2,31-40,131194
New Mexico,2,41-50,118704
New Mexico,2,51-60,137062
New Mexico,2,61-70,133311
New Mexico,2,71+,122694
New Mexico,2,Total,1056288
New York,0,10-Jan,2481863
New York,0,20-Nov,2332544
New York,0,21-30,2814145
New York,0,31-40,2605234
New York,0,41-50,2411145
New York,0,51-60,2684672
New York,0,61-70,2177230
New York,0,71+,2010431
New York,0,Total,19517264
New York,1,10-Jan,1269454
New York,1,20-Nov,1185922
New York,1,21-30,1403304
New York,1,31-40,1291884
New York,1,41-50,1176355
New York,1,51-60,1294880
New York,1,61-70,1021193
New York,1,71+,823717
New York,1,Total,9466709
New York,2,10-Jan,1212409
New York,2,20-Nov,1146622
New York,2,21-30,1410841
New York,2,31-40,1313350
New York,2,41-50,1234790
New York,2,51-60,1389792
New York,2,61-70,1156037
New York,2,71+,1186714
New York,2,Total,10050555
North Carolina,0,10-Jan,1371344
North Carolina,0,20-Nov,1341361
North Carolina,0,21-30,1368664
North Carolina,0,31-40,1292876
North Carolina,0,41-50,1332518
North Carolina,0,51-60,1377848
North Carolina,0,61-70,1178118
North Carolina,0,71+,1023408
North Carolina,0,Total,10286137
North Carolina,1,10-Jan,699533
North Carolina,1,20-Nov,678716
North Carolina,1,21-30,674552
North Carolina,1,31-40,623798
North Carolina,1,41-50,647617
North Carolina,1,51-60,662501
North Carolina,1,61-70,545952
North Carolina,1,71+,432276
North Carolina,1,Total,4964945
North Carolina,2,10-Jan,671811
North Carolina,2,20-Nov,662645
North Carolina,2,21-30,694112
North Carolina,2,31-40,669078
North Carolina,2,41-50,684901
North Carolina,2,51-60,715347
North Carolina,2,61-70,632166
North Carolina,2,71+,591132
North Carolina,2,Total,5321192
North Dakota,0,10-Jan,114724
North Dakota,0,20-Nov,96620
North Dakota,0,21-30,119081
North Dakota,0,31-40,99751
North Dakota,0,41-50,78198
North Dakota,0,51-60,91243
North Dakota,0,61-70,80239
North Dakota,0,71+,73046
North Dakota,0,Total,752902
North Dakota,1,10-Jan,58597
North Dakota,1,20-Nov,49817
North Dakota,1,21-30,62846
North Dakota,1,31-40,53027
North Dakota,1,41-50,40702
North Dakota,1,51-60,46260
North Dakota,1,61-70,40609
North Dakota,1,71+,31502
North Dakota,1,Total,383360
North Dakota,2,10-Jan,56127
North Dakota,2,20-Nov,46803
North Dakota,2,21-30,56235
North Dakota,2,31-40,46724
North Dakota,2,41-50,37496
North Dakota,2,51-60,44983
North Dakota,2,61-70,39630
